section,title,key,style,ticker,contribution_ann_%,contribution_total_%,share_of_pnl_%,gross_contribution_ann_%,cost_ann_%,avg_gross_weight,avg_net_weight,days_held_%,long_days_%,short_days_%,ann_turnover_x
3.1,Price-momentum,3.1.price_momentum,momentum,COHR,0.03731302549788372,0.3854198625832989,-2.5033140058118084,0.041940169018376446,0.004627143520492732,0.002436302405372153,0.0004530376911930399,62.35113330772186,37.95620437956204,24.394928928159814,0.09254287040985462
3.1,Price-momentum,3.1.price_momentum,momentum,CRH,0.036891974561101035,0.38107067374026193,-2.475065888883631,0.04011297498621054,0.003221000425109503,0.002140650168437517,0.0004918413641696286,50.51863234729159,31.46369573568959,19.054936611601995,0.06442000850219007
3.1,Price-momentum,3.1.price_momentum,momentum,LULU,0.036523257703476454,0.3772620627069413,-2.450328841658048,0.04164045323418545,0.005117195530709014,0.0027064534806982756,0.0001842233750575829,65.11717249327698,34.114483288513256,31.002689204763733,0.10234391061418026
3.1,Price-momentum,3.1.price_momentum,momentum,SCHW,0.03628198147178768,0.3747698324248545,-2.4341417283913884,0.040877808639289796,0.00459582716750212,0.0019539639679839347,0.00011861752865669776,50.90280445639647,26.31578947368421,24.587014982712255,0.0919165433500424
3.1,Price-momentum,3.1.price_momentum,momentum,TGT,0.03513615235307327,0.3629341451390862,-2.3572685710188384,0.03962030976122578,0.004484157408152529,0.00253285430143704,-0.0003494425516397604,58.97041874759893,25.163273146369576,33.80714560122935,0.0896831481630506
3.1,Price-momentum,3.1.price_momentum,momentum,TEL,0.03478297642716705,0.35928606206315805,-2.3335741578738434,0.03848207253649221,0.0036990961093251637,0.001476897294164273,0.0006886083329425765,32.15520553207838,21.5904725316942,10.564733000384171,0.07398192218650329
3.1,Price-momentum,3.1.price_momentum,momentum,ROP,0.03321765557146019,0.3431172914782178,-2.228557489581894,0.03797934659962214,0.004761691028161944,0.0020452295466061774,1.3564826854334536e-05,41.33691893968498,21.628889742604688,19.708029197080293,0.09523382056323888
3.1,Price-momentum,3.1.price_momentum,momentum,AAPL,0.032952576221620115,0.3403791900987189,-2.21077343588344,0.037533922722688524,0.0045813465010683865,0.0027001386611061593,0.0015401836375115616,54.36035343834038,42.5278524779101,11.832500960430274,0.09162693002136775
3.1,Price-momentum,3.1.price_momentum,momentum,AVGO,0.03271422118958541,0.33791713395432865,-2.194782304580457,0.03618245135614851,0.003468230166563099,0.0020049561192974795,0.0014745858862081512,52.900499423741834,44.756050710718405,8.144448713023435,0.06936460333126199
3.1,Price-momentum,3.1.price_momentum,momentum,APH,0.03226964004238949,0.3333248929775391,-2.1649555564772096,0.03481597939287934,0.002546339350489853,0.0018858025399375244,0.0014285401272968218,40.14598540145985,33.46139070303496,6.684594698424895,0.05092678700979705
3.1,Price-momentum,3.1.price_momentum,momentum,TYL,0.03225496268363866,0.3331732851806009,-2.163970859116462,0.036644853611001595,0.0043898909273629464,0.002765201427790967,0.00045042377053291686,56.39646561659624,32.53937764118325,23.857087975412984,0.08779781854725892
3.1,Price-momentum,3.1.price_momentum,momentum,INTU,0.0315665671969421,0.32606259687952494,-2.1177867172413176,0.03470239499268428,0.003135827795742182,0.0016252273554362138,0.0005243608939863497,37.87936995774107,28.50557049558202,9.373799462159047,0.06271655591484365
3.1,Price-momentum,3.1.price_momentum,momentum,PWR,0.031005952174886747,0.32027179964773894,-2.08017530895015,0.03446616439227328,0.0034602122173865383,0.002837739365490609,0.0014103318888252978,66.11601997694967,48.636189012677676,17.479830964271994,0.06920424434773076
3.1,Price-momentum,3.1.price_momentum,momentum,HUM,0.03064414279175675,0.31653453844024926,-2.055901681064498,0.0365367759822263,0.0058926331904695555,0.0025010939920831945,-0.00027433029581024645,58.586246638494046,22.62773722627737,35.95850941221667,0.11785266380939112
3.1,Price-momentum,3.1.price_momentum,momentum,PNC,0.03014897505742644,0.3114197701368295,-2.0226811017082236,0.03434081766839185,0.0041918426109654,0.0017042941842959707,-1.0422766527847541e-05,39.18555512869766,19.515943142527853,19.669611986169805,0.083836852219308
